WAVELENGTH,FLUX,ERROR
855.719,1.1354,0.1502
855.916,1.1076,0.1759
856.113,1.1670,0.1862
856.311,1.4214,0.1593
856.508,1.5358,0.1518
856.705,1.3592,0.1663
856.902,1.1903,0.1513
857.100,1.1719,0.1462
857.297,1.2494,0.1374
857.494,1.3304,0.1451
857.692,1.2547,0.1361
857.889,1.0229,0.1450
858.087,1.1506,0.1427
858.285,1.2445,0.1345
858.482,1.0314,0.1357
858.680,1.3706,0.1692
858.878,0.9410,0.1262
859.076,1.0612,0.1373
859.273,1.0973,0.1408
859.471,1.2251,0.1643
859.669,1.0712,0.1613
859.867,1.3556,0.1773
860.065,1.0139,0.1236
860.263,0.8572,0.1214
860.461,0.9406,0.1163
860.659,1.0615,0.1387
860.858,1.1154,0.1526
861.056,0.8476,0.1163
861.254,1.0020,0.1469
861.452,1.1384,0.1533
861.651,1.1463,0.1331
861.849,1.0363,0.1183
862.048,0.9442,0.1280
862.246,1.3266,0.1716
862.445,1.2046,0.1360
862.643,1.2088,0.1273
862.842,1.0717,0.1377
863.041,1.0136,0.1231
863.240,1.0443,0.1275
863.438,0.9961,0.1337
863.637,1.0941,0.1389
863.836,1.0296,0.1393
864.035,1.2188,0.1857
864.234,1.4339,0.1630
864.433,1.0509,0.1255
864.632,1.0013,0.1264
864.831,1.0297,0.1289
865.030,1.4946,0.1577
865.229,0.9436,0.1317
865.429,1.3067,0.1631
865.628,1.0151,0.1277
865.827,1.1908,0.1340
866.027,1.1690,0.1472
866.226,1.1509,0.1216
866.426,1.1931,0.1275
866.625,1.0774,0.1107
866.825,1.0966,0.1237
867.024,0.9715,0.1257
867.224,1.1615,0.1359
867.424,1.1934,0.1304
867.624,1.1027,0.1183
867.823,0.9194,0.1057
868.023,1.2619,0.1384
868.223,1.2148,0.1260
868.423,1.2680,0.1332
868.623,1.2517,0.1382
868.823,1.2889,0.1350
869.023,1.4612,0.1431
869.223,1.0637,0.1260
869.423,0.7977,0.1118
869.624,0.9855,0.1169
869.824,1.0453,0.1248
870.024,0.9416,0.1162
870.224,1.1462,0.1320
870.425,1.1642,0.1317
870.625,1.1538,0.1348
870.826,1.0224,0.1303
871.026,0.9709,0.1341
871.227,0.9709,0.1464
871.428,0.9993,0.1265
871.628,1.0005,0.1084
871.829,1.1146,0.1200
872.030,1.0288,0.1250
872.231,1.1835,0.1254
872.431,1.0365,0.1193
872.632,1.3534,0.1293
872.833,1.0936,0.1179
873.034,1.0971,0.1191
873.235,1.1698,0.1333
873.437,0.8516,0.1064
873.638,0.9245,0.1115
873.839,1.1785,0.1169
874.040,1.0494,0.1069
874.241,1.1700,0.1146
874.443,0.8929,0.1110
874.644,1.0315,0.1091
874.845,1.1860,0.1219
875.047,1.1863,0.1117
875.248,1.3729,0.1106
875.450,1.5712,0.1197
875.652,1.2849,0.1224
875.853,1.5380,0.1367
876.055,1.1691,0.1168
876.257,1.2274,0.1131
876.458,1.2668,0.1156
876.660,1.1541,0.1137
876.862,1.3302,0.1072
877.064,1.4492,0.1263
877.266,1.0060,0.1249
877.468,0.9787,0.1072
877.670,1.1521,0.1109
